business_code,name,restaurant_type,part_of_hotel,hotel,ambience_score,tour_category,tci_score,city_name
FB80757,Sapphire,coffee-shop,True,HO11021,7.8,Food,7.8,Jaipur
FB80113,Threesixtythree,coffee-shop,True,HO10620,9.0,Food,9.0,Kolkata
FB81072,In-House Kitchen,coffee-shop,True,HO12191,4.8,Food,4.8,Vagamon
FB80301,Citrus Cafe,coffee-shop,True,HO10723,7.8,Food,7.8,Gurgaon
FB80134,Marwar,coffee-shop,True,HO10167,9.0,Food,9.0,Jodhpur
FB80998,Whistler Cafe,coffee-shop,True,HO11567,6.6,Food,6.6,Kodaikanal
FB81404,Zodiac,coffee-shop,True,HO12055,6.3,Food,6.3,Tirupati
FB80494,Tissa's,coffee-shop,True,HO10055,8.0,Food,8.0,Kochi (Cochin)
FB80554,Risala,specialty-restaurant,True,HO10460,9.6,Food,9.6,Jodhpur
FB80514,The Restaurant,coffee-shop,True,HO10661,5.8,Food,5.8,Bandhavgarh
FB81197,Restaurant,coffee-shop,True,HO12134,8.2,Food,8.2,Udumalpet
FB80411,Spice Court,coffee-shop,True,HO10819,7.0,Food,7.0,Churu
FB80610,Cafe,coffee-shop,True,HO10856,6.2,Food,6.2,New Delhi
FB80173,The Dining Area,coffee-shop,True,HO10021,9.4,Food,9.4,Varanasi
FB81516,Restaurant,coffee-shop,True,HO12592,5.7,Food,5.7,Thirupugalur
FB80912,Machan,coffee-shop,True,HO11516,10.0,Food,10.0,Ranthambore
FB80693,The in-house,coffee-shop,True,HO11032,5.8,Food,5.8,Kodaikanal
FB81409,Citrus Cafe,coffee-shop,True,HO12521,6.7,Food,6.7,Corbett
FB80319,Pearl Spot,coffee-shop,True,HO10182,9.2,Food,9.2,Mararikulam
FB80090,Connaught Clubhouse,multi-cuisine,False,,8.6,Food,8.6,New Delhi
FB80752,Dawat,coffee-shop,True,HO11135,6.0,Food,6.0,Udaipur (RJ)
FB80783,Wildgrass,coffee-shop,True,HO11218,6.6,Food,6.6,Kabini
FB80166,BLD,coffee-shop,True,HO10716,8.6,Food,8.6,Goa
FB80390,Saffron,coffee-shop,True,HO10309,7.0,Food,7.0,Jaisalmer
FB81567,Cinnamon,multi-cuisine,True,HO12706,5.4,Food,5.4,Bengaluru
FB81133,Mehfils,coffee-shop,True,HO11902,4.8,Food,4.8,Jaisalmer
FB80513,The Restaurant,coffee-shop,True,HO10270,9.0,Food,9.0,Alwar
FB80772,Miri,coffee-shop,True,HO11019,8.5,Food,8.5,Goa
FB80884,Lakhamana,specialty-restaurant,True,HO10505,6.2,Food,6.2,Jaisalmer
FB80858,The Restaurant,coffee-shop,True,HO10258,7.6,Food,7.6,Pragpur
FB81630,The Bridge,coffee-shop,True,HO12787,6.6,Food,6.6,Hampi (Hosapete)
FB80238,Clever Fox,coffee-shop,True,HO10539,6.7,Food,6.7,Trichy (Tiruchirappalli)
FB80811,Citrus Caf̩,coffee-shop,True,HO11357,6.6,Food,6.6,Chennai
FB80704,Suntaley Chulo,coffee-shop,True,HO11059,5.8,Food,5.8,Gangtok
