business_code,name,name.1,customer_code,name.2,source_market_code
PT110001,Taj Tour,Agra,ACC0861,"PerfectStay.com, France",FRA
PT110004,Cooking lesson and meal with a Dera Mandawa family (WITH MARKET VISIT),Jaipur,ACC0538,"If Only, United Kingdom",GBR
PT110004,City Tour of Cochin,Kochi (Cochin),ACC0538,"If Only, United Kingdom",GBR
PT110004,Cochin Walking Tour,Kochi (Cochin),ACC0538,"If Only, United Kingdom",GBR
PT110004,Food and Faith Walk in Old Delhi,New Delhi,ACC0538,"If Only, United Kingdom",GBR
PT110001,Monument Only,New Delhi,ACC0861,"PerfectStay.com, France",FRA
PT110001,Guide Only,New Delhi,ACC0861,"PerfectStay.com, France",FRA
PT110001,Test,Udaipur (RJ),ACC0861,"PerfectStay.com, France",FRA
PT110004,Sundowner Rural Ramble,Deogarh,ACC0538,"If Only, United Kingdom",GBR
PT110001,Half day,New Delhi,ACC0861,"PerfectStay.com, France",FRA
PT110001,Village Tour,Jodhpur,ACC0861,"PerfectStay.com, France",FRA
PT110001,Activity Only,New Delhi,ACC0861,"PerfectStay.com, France",FRA
PT110005,Movie Show at Raj Mandir,Jaipur,ACC1606,"Audley Travel, United Kingdom",DEU
PT110005,Mumbai at Dawn Tour,Mumbai,ACC1606,"Audley Travel, United Kingdom",DEU
PT110005,Half day Mumbai Market Tour,Mumbai,ACC1606,"Audley Travel, United Kingdom",DEU
PT110005,Discover Chandigarh,Chandigarh,ACC1606,"Audley Travel, United Kingdom",DEU
PT110005,Excursion to Fatehpur Sikri,Fatehpur Sikri,ACC1606,"Audley Travel, United Kingdom",DEU
PT110005,Excursion to Fatehpur Sikri,Agra,ACC1606,"Audley Travel, United Kingdom",DEU
PT110005,Experiences of Jaipur,Jaipur,ACC1606,"Audley Travel, United Kingdom",DEU
PT110005,Discover Jaipur,Jaipur,ACC1606,"Audley Travel, United Kingdom",DEU
PT110005,Wildlife Experience,Jaipur,ACC1606,"Audley Travel, United Kingdom",DEU
PT110004,Evening excursion to the ghats including boatride,Varanasi,ACC0538,"If Only, United Kingdom",GBR
PT110004,Evening cooking demonstration with local family <<family home>>,Jodhpur,ACC0538,"If Only, United Kingdom",GBR
PT110004,Half Day Village Safari,Jodhpur,ACC0538,"If Only, United Kingdom",GBR
PT110004,City Tour of Hyderabad,Hyderabad,ACC0538,"If Only, United Kingdom",GBR
PT110004,Morning Game Drive in Ranthambhore National Park,Ranthambore,ACC0538,"If Only, United Kingdom",GBR
PT110004,Toy Train excursion,Shimla,ACC0538,"If Only, United Kingdom",GBR
PT110004,Discovering  Amritsar,Amritsar,ACC0538,"If Only, United Kingdom",GBR
PT110004,Cooking lesson and meal with a local family,Udaipur (RJ),ACC0538,"If Only, United Kingdom",GBR
PT110004,Private boat ride on Lake Pichola,Udaipur (RJ),ACC0538,"If Only, United Kingdom",GBR
PT110004,Shared Boat Ride on Lake Pichola with tickets,Udaipur (RJ),ACC0538,"If Only, United Kingdom",GBR
PT110004,Half-day Dharavi Slum tour,Mumbai,ACC0538,"If Only, United Kingdom",GBR
PT110004,Mumbai Heritage Walk,Mumbai,ACC0538,"If Only, United Kingdom",GBR
PT110004,Mumbai at Dawn Tour,Mumbai,ACC0538,"If Only, United Kingdom",GBR
PT110004,Visit to the Sarus Crane Conservation area,Jarar,ACC0538,"If Only, United Kingdom",GBR
PT110004,Cooking lesson and meal with a local family,Jaipur,ACC0538,"If Only, United Kingdom",GBR
PT110004,Excursion to the Juna Mahal and Deo Somnath Temple,Udaipur (RJ),ACC0538,"If Only, United Kingdom",GBR
PT110004,Golconda Fort & Qutb Shahi Tombs,Hyderabad,ACC0538,"If Only, United Kingdom",GBR
PT110004,Full day Chennai city tour,Chennai,ACC0538,"If Only, United Kingdom",GBR
PT110004,Exploring Gwalior,Gwalior,ACC0538,"If Only, United Kingdom",GBR
PT110004,Trek and bamboo rafting excursion,Thekkady (Periyar/Kumily),ACC0538,"If Only, United Kingdom",GBR
PT110004,Excursion to Karni Mata rat temple,Bikaner,ACC0538,"If Only, United Kingdom",GBR
PT110004,Gangtok City Tour,Gangtok,ACC0538,"If Only, United Kingdom",GBR
PT110004,Evening Visit  to the City Palace Illuminations,Mysuru (Mysore),ACC0538,"If Only, United Kingdom",GBR
PT110004,Walk through local plantations,Munnar,ACC0538,"If Only, United Kingdom",GBR
PT110004,Excursion to Amber Fort Palace and Jaipur City,Jaipur,ACC0538,"If Only, United Kingdom",GBR
PT110004,Half day Jaipur City Tour,Jaipur,ACC0538,"If Only, United Kingdom",GBR
PT110004,Sightseeing in Badami,Badami,ACC0538,"If Only, United Kingdom",GBR
PT110004,Half day Mumbai Market Tour,Mumbai,ACC0538,"If Only, United Kingdom",GBR
PT110004,Discovering Mount Abu,Mount Abu,ACC0538,"If Only, United Kingdom",GBR
PT110004,Hot-air balloon flight over Jaipur,Jaipur,ACC0538,"If Only, United Kingdom",GBR
PT110004,Pragpur village tour and excursion to Kangra,Kangra,ACC0538,"If Only, United Kingdom",GBR
PT110004,Rice Boat Cruise,Alappuzha (Alleppey),ACC0538,"If Only, United Kingdom",GBR
PT110004,Calcutta city tour,Kolkata,ACC0538,"If Only, United Kingdom",GBR
PT110004,Night Walk of Old Delhi,New Delhi,ACC0538,"If Only, United Kingdom",GBR
PT110005,Full day City Tour,Bengaluru,ACC1606,"Audley Travel, United Kingdom",DEU
PT110005,Experiences,Kanyakumari,ACC1606,"Audley Travel, United Kingdom",DEU
PT110005,Discover Kovalam & Trivandrum,Thiruvananthapuram (Trivandrum),ACC1606,"Audley Travel, United Kingdom",DEU
PT110005,Discovering Mount Abu,Mount Abu,ACC1606,"Audley Travel, United Kingdom",DEU
PT110005,Hot-air balloon flight over Jaipur,Jaipur,ACC1606,"Audley Travel, United Kingdom",DEU
PT110005,Pragpur village tour and excursion to Kangra,Kangra,ACC1606,"Audley Travel, United Kingdom",DEU
PT110005,Rice Boat Cruise,Alappuzha (Alleppey),ACC1606,"Audley Travel, United Kingdom",DEU
PT110005,Calcutta city tour,Kolkata,ACC1606,"Audley Travel, United Kingdom",DEU
PT110005,Night Walk of Old Delhi,New Delhi,ACC1606,"Audley Travel, United Kingdom",DEU
PT110005,Lucknow Uncovered,Lucknow,ACC1606,"Audley Travel, United Kingdom",DEU
PT110005,Tour of Sanchi,Bhopal,ACC1606,"Audley Travel, United Kingdom",DEU
PT110005,Tour of Ooty,Ooty (Udhagamandalam),ACC1606,"Audley Travel, United Kingdom",DEU
PT110005,Guided Tour of Orchha,Orchha,ACC1606,"Audley Travel, United Kingdom",DEU
PT110005,Excursion to Sarnath with guide,Varanasi,ACC1606,"Audley Travel, United Kingdom",DEU
PT110005,Morning & afternoon game drives in Ranthambhore,Ranthambore,ACC1606,"Audley Travel, United Kingdom",DEU
PT110005,Exploring Varanasi,Varanasi,ACC1606,"Audley Travel, United Kingdom",DEU
PT110005,"Hidden Varanasi <<Guided walk, off the beaten track>>",Varanasi,ACC1606,"Audley Travel, United Kingdom",DEU
PT110005,Morning excursion to Varanasi ghats including boatride,Varanasi,ACC1606,"Audley Travel, United Kingdom",DEU
PT110005,Visit to the weavers district.,Varanasi,ACC1606,"Audley Travel, United Kingdom",DEU
PT110005,Rare Textile & Artist,Udaipur (RJ),ACC1606,"Audley Travel, United Kingdom",DEU
PT110005,Udaipur Walking tour,Udaipur (RJ),ACC1606,"Audley Travel, United Kingdom",DEU
PT110005,Old and New Delhi sightseeing (without Red Fort),New Delhi,ACC1606,"Audley Travel, United Kingdom",DEU
PT110005,Delhi Five Senses Tour,New Delhi,ACC1606,"Audley Travel, United Kingdom",DEU
PT110005,Rural Train Experience,Deogarh,ACC1606,"Audley Travel, United Kingdom",DEU
PT110005,Morning Game Drives in Ranthambhore,Ranthambore,ACC1606,"Audley Travel, United Kingdom",DEU
PT110005,Pink City Tour in a Pink Rickshaw,Jaipur,ACC1606,"Audley Travel, United Kingdom",DEU
PT110005,Excursion to Srirangapatnam,Srirangapatna,ACC1606,"Audley Travel, United Kingdom",DEU
PT110005,Afternoon game drive,Kabini,ACC1606,"Audley Travel, United Kingdom",DEU
PT110005,Game drive by boat,Kabini,ACC1606,"Audley Travel, United Kingdom",DEU
PT110005,Jewish Tour,Mumbai,ACC1606,"Audley Travel, United Kingdom",DEU
PT110005,The Adbesara Hunting Trail (without Champagne),Udaipur (RJ),ACC1606,"Audley Travel, United Kingdom",DEU
PT110005,Calcutta walking tour,Kolkata,ACC1606,"Audley Travel, United Kingdom",DEU
PT110005,Afternoon Jeep safari in the park,Tadoba,ACC1606,"Audley Travel, United Kingdom",DEU
PT110005,Excursion around the Tellicherry area,Thalassery (Telicherry),ACC1606,"Audley Travel, United Kingdom",DEU
PT110005,Rural Kerala by bike (VillageÂ Rubble) - Full Day,Kochi (Cochin),ACC1606,"Audley Travel, United Kingdom",DEU
PT110005,Visit Aarti at Rishikesh in the evening,Rishikesh,ACC1606,"Audley Travel, United Kingdom",DEU
PT110005,Pushkar Tour,Pushkar,ACC1606,"Audley Travel, United Kingdom",DEU
PT110005,Morning game drive,Kabini,ACC1606,"Audley Travel, United Kingdom",DEU
PT110005,Cooking demonstration in a local home.,Puducherry (Pondicherry),ACC1606,"Audley Travel, United Kingdom",DEU
PT110005,Cooking lesson and meal with a Dera Mandawa family (WITH MARKET VISIT),Jaipur,ACC1606,"Audley Travel, United Kingdom",DEU
PT110005,City Tour of Cochin,Kochi (Cochin),ACC1606,"Audley Travel, United Kingdom",DEU
PT110005,Cochin Walking Tour,Kochi (Cochin),ACC1606,"Audley Travel, United Kingdom",DEU
PT110005,Food and Faith Walk in Old Delhi,New Delhi,ACC1606,"Audley Travel, United Kingdom",DEU
PT110005,Sundowner Rural Ramble,Deogarh,ACC1606,"Audley Travel, United Kingdom",DEU
PT110005,Visit to the Sarus Crane Conservation area,Jarar,ACC1606,"Audley Travel, United Kingdom",DEU
PT110005,Cooking lesson and meal with a local family,Jaipur,ACC1606,"Audley Travel, United Kingdom",DEU
PT110005,Excursion to the Juna Mahal and Deo Somnath Temple,Udaipur (RJ),ACC1606,"Audley Travel, United Kingdom",DEU
PT110005,Golconda Fort & Qutb Shahi Tombs,Hyderabad,ACC1606,"Audley Travel, United Kingdom",DEU
PT110005,Visit to Bateshwar Temples on the River Yamuna,Jarar,ACC1606,"Audley Travel, United Kingdom",DEU
PT110005,Lockhart Tea Trail,Munnar,ACC1606,"Audley Travel, United Kingdom",DEU
PT110005,Half day tour of craftsmen in the old bazaars of Jaipur,Jaipur,ACC1606,"Audley Travel, United Kingdom",DEU
PT110005,Chennai (Madras) city sightseeing,Chennai,ACC1606,"Audley Travel, United Kingdom",DEU
PT110005,Full day Chennai city tour,Chennai,ACC1606,"Audley Travel, United Kingdom",DEU
PT110005,Exploring Gwalior,Gwalior,ACC1606,"Audley Travel, United Kingdom",DEU
PT110005,Trek and bamboo rafting excursion,Thekkady (Periyar/Kumily),ACC1606,"Audley Travel, United Kingdom",DEU
PT110005,Excursion to Karni Mata rat temple,Bikaner,ACC1606,"Audley Travel, United Kingdom",DEU
PT110005,Gangtok City Tour,Gangtok,ACC1606,"Audley Travel, United Kingdom",DEU
PT110005,Evening Visit  to the City Palace Illuminations,Mysuru (Mysore),ACC1606,"Audley Travel, United Kingdom",DEU
PT110005,Walk through local plantations,Munnar,ACC1606,"Audley Travel, United Kingdom",DEU
PT110005,Excursion to Amber Fort Palace and Jaipur City,Jaipur,ACC1606,"Audley Travel, United Kingdom",DEU
PT110005,Half day Jaipur City Tour,Jaipur,ACC1606,"Audley Travel, United Kingdom",DEU
PT110005,Sightseeing in Badami,Badami,ACC1606,"Audley Travel, United Kingdom",DEU
PT110005,Evening excursion to the ghats including boatride,Varanasi,ACC1606,"Audley Travel, United Kingdom",DEU
PT110005,Evening cooking demonstration with local family <<family home>>,Jodhpur,ACC1606,"Audley Travel, United Kingdom",DEU
PT110005,Half Day Village Safari,Jodhpur,ACC1606,"Audley Travel, United Kingdom",DEU
PT110005,Morning Game Drive in Ranthambhore National Park,Ranthambore,ACC1606,"Audley Travel, United Kingdom",DEU
PT110005,Discover Kovalam,Kovalam,ACC1606,"Audley Travel, United Kingdom",DEU
PT110005,City Tour of Hyderabad,Hyderabad,ACC1606,"Audley Travel, United Kingdom",DEU
PT110005,Toy Train excursion,Shimla,ACC1606,"Audley Travel, United Kingdom",DEU
PT110005,Excursion,Thiruvananthapuram (Trivandrum),ACC1606,"Audley Travel, United Kingdom",DEU
PT110005,Discover Goa,Goa,ACC1606,"Audley Travel, United Kingdom",DEU
PT110005,Five Senses Tour,Mumbai,ACC1606,"Audley Travel, United Kingdom",DEU
PT110005,Tour of Chettinad Mansions,Chettinadu,ACC1606,"Audley Travel, United Kingdom",DEU
PT110005,Walking Tour of Alleppey without lunch,Alappuzha (Alleppey),ACC1606,"Audley Travel, United Kingdom",DEU
PT110005,Excursion to Ajanta,Aurangabad (MH) ,ACC1606,"Audley Travel, United Kingdom",DEU
PT110005,Half day to the Ellora Caves,Aurangabad (MH) ,ACC1606,"Audley Travel, United Kingdom",DEU
PT110005,Morning Jeep safari in the park,Kanha,ACC1606,"Audley Travel, United Kingdom",DEU
PT110005,Excursion to Sunset point by camel,Jaisalmer,ACC1606,"Audley Travel, United Kingdom",DEU
PT110005,Jaisalmer City Tour on foot,Jaisalmer,ACC1606,"Audley Travel, United Kingdom",DEU
PT110005,Guided Tour of the Temples,Khajuraho,ACC1606,"Audley Travel, United Kingdom",DEU
PT110005,Madurai Rickshaw Tour,Madurai,ACC1606,"Audley Travel, United Kingdom",DEU
PT110005,Cycle tour,Kochi (Cochin),ACC1606,"Audley Travel, United Kingdom",DEU
PT110005,Excursion to Meenakshi Temple 'Going to Bed' Ceremony,Madurai,ACC1606,"Audley Travel, United Kingdom",DEU
PT110005,Guided Tour of Bhopal,Bhopal,ACC1606,"Audley Travel, United Kingdom",DEU
