business_code,name,tci_classification,official_classification,city_name,supplier_code,supplier_name
HO11508,Kumarakom Lake Resort (Houseboat),houseboat-first-class,houseboat-platinum,Kumarakom,DR10110,Kumarakom Lake Resort (Houseboat)
HO11809,UK 27 The Fern,budget,5str,,DR11538,UK 27 The Fern
HO10061,Ideal Beach Resort,moderate,3str,Mamallapuram (Mahabalipuram),DR10172,Ideal Beach Resort
HO10251,Karni Bhawan,moderate,heritage,Jodhpur,DR10109,Karni Bhawan
HO10893,Chariot Beach Resort,first-class,5str,Mamallapuram (Mahabalipuram),DR10170,Chariot Beach Resort
HO12178,Taj The Trees,first-class,5str,Mumbai,DR12400,Taj The Trees
HO12328,Bori Safari Lodge,first-class,1str,Bori (not to be used),DR12777,Bori Safari Lodge
HO12359,Regenta Resort,moderate,4str,Bhuj,DR12705,Regenta Resort
HO10346,Taj City Centre,first-class,5str,Gurgaon,DR10710,Taj City Centre
HO12384,Test Aihole Hotel,first-class,5str,Thekkady (Periyar/Kumily),DR12330,Test Aihole Hotel
HO12298,Africa Avenue (GK-1),budget,4str,New Delhi,DR12750,Africa Avenue (GK-1)
HO11587,35 Sahakar Suites,moderate,5str,Jaipur,DR12339,35 Sahakar Suites
HO11939,Le Sutra,budget,4str,Mumbai,DR11538,Le Sutra
HO10700,Vivanta,moderate,5str,Vadodara,DR11095,Vivanta
HO11497,Justa Sarang,moderate,3str,Rameshwaram,DR12249,Justa Sarang
HO11706,Rainforest,moderate,1str,Athirappilly,DR12538,Rainforest
HO10813,Kutch Safari Resort,moderate,3str,Bhuj,DR10574,Kutch Safari Resort
HO11202,Regenta Central Herald,budget,3str,Mysuru (Mysore),DR10866,Regenta Central Herald
HO10315,Classic Sarovar Portico,budget,4str,Thiruvananthapuram (Trivandrum),DR10747,Classic Sarovar Portico
HO12249,Mount Kailash Resort,budget,4str,Pokhara,DR12655,Mount Kailash Resort
HO10496,Sawai Vilas,first-class,5str,Ranthambore,DR10744,Sawai Vilas
HO12082,Park Inn by Radisson,budget,1str,Gwalior,DR11538,Park Inn by Radisson
HO11018,WelcomHeritage Fernhills Royal Palace,moderate,3str,Ooty (Udhagamandalam),DR11326,WelcomHeritage Fernhills Royal Palace
HO10859,Courtyard By Marriott,moderate,5str,Ahmedabad,DR11084,Courtyard By Marriott
HO11891,The Kumbha Bagh,budget,4str,,DR11538,The Kumbha Bagh
HO11331,Four Points By Sheraton,moderate,3str,Srinagar,DR11836,Four Points By Sheraton
HO11198,Regenta Central,moderate,1str,Udaipur (RJ),DR10982,Regenta Central
HO10959,Le Meridien,moderate,5str,Kochi (Cochin),DR10283,Le Meridien
HO11710,The Killians Boutique,budget,3str,Kochi (Cochin),DR11538,The Killians Boutique
HO12009,Welcomhotel Bay Island,budget,3str,Port Blair,DR11538,Welcomhotel Bay Island
HO10307,Park Plaza,moderate,4str,New Delhi,DR10373,Park Plaza
HO11163,Fort Chanwa,budget,3str,Luni,DR11345,Fort Chanwa
HO10391,Courtyard By Marriott,first-class,4str,Madurai,DR10158,Courtyard By Marriott
HO10715,Lemon Tree,moderate,4str,Siliguri,DR11145,Lemon Tree
HO11555,Tree Of Life Darbargadh,first-class,1str,Bhavnagar,DR12347,Tree Of Life Darbargadh
HO10716,Taj Cidade De Goa Horizon,first-class,5str,Goa,DR11133,Taj Cidade De Goa Horizon
HO11539,Fortune Select Global,moderate,4str,Gurgaon,DR12282,Fortune Select Global
HO11559,Tree Of Life Bhadrajun House,first-class,1str,Jodhpur,DR12344,Tree Of Life Bhadrajun House
HO10525,Aranya Vilas,moderate,4str,Udaipur (RJ),DR10951,Aranya Vilas
HO11683,Flora Airport Hotel & Convention Centre,budget,4str,Kochi (Cochin),DR10253,Flora Airport Hotel & Convention Centre
HO11328,Mountain Club Resort,moderate,4str,Munnar,DR11490,Mountain Club Resort
HO10192,JW Marriott (Juhu),lux,5str-lux,Mumbai,DR10646,JW Marriott (Juhu)
HO12266,Riverside Spring Resort,budget,1str,Chitwan,DR12655,Riverside Spring Resort
HO12307,Ravla Bhenswara,budget,3str,Bhenswara,DR12763,Ravla Bhenswara
HO11913,Park Hyatt,budget,5str,,DR11538,Park Hyatt
HO10564,Welcomhotel By ITC Hotels,moderate,4str,Chennai,DR10838,Welcomhotel By ITC Hotels
HO11271,Lemon Tree Premier,moderate,4str,Dwarka,DR11536,Lemon Tree Premier
HO10293,Park Ocean,budget,4str,Jaipur,DR10021,Park Ocean
HO11019,St. Regis,lux,5str,Goa,DR11178,St. Regis
HO11598,Brij Bageecha,lux,5str,Jaipur,DR12377,Brij Bageecha
HO10614,White Water Cruise-2BRH,houseboat-moderate,houseboat-silver,Kumarakom,DR10006,White Water Cruise-2BRH
HO11286,The Roseate,first-class,5str,New Delhi,DR11489,The Roseate
HO12061,Marasa Sarovar Portico,budget,3str,Indore,DR11538,Marasa Sarovar Portico
HO10280,The Park,moderate,5str,New Delhi,DR10541,The Park
HO11872,Godwin,moderate,4str,Haridwar,DR12545,Godwin
HO11180,Arista,budget,1str,Udaipur (RJ),DR11541,Arista
HO10416,Taj Fisherman's Cove Resort & Spa,first-class,5str,Mamallapuram (Mahabalipuram),DR10875,Taj Fisherman's Cove Resort & Spa
HO10595,Bundi Haveli,budget,2str,Bundi,DR10886,Bundi Haveli
HO10739,Shikarbadi,moderate,3str,Udaipur (RJ),DR11120,Shikarbadi
HO10889,The Stepwell Hotel,moderate,1str,Jodhpur,DR10904,The Stepwell Hotel
HO11599,Aalia Jungle Retreat & Spa,first-class,1str,Haridwar,DR12395,Aalia Jungle Retreat & Spa
HO12020,Radisson,budget,5str,Jodhpur,DR11538,Radisson
HO11389,Citrus Classic,moderate,3str,Dharamshala,DR10783,Citrus Classic
HO10152,Chidambara Vilas,moderate,heritage,Chettinadu,DR10651,Chidambara Vilas
HO10692,Red Earth,moderate,3str,Kabini,DR10554,Red Earth
HO10013,The Imperial,lux,5str-lux,New Delhi,DR10056,The Imperial
HO10974,WelcomHeritage Connaught House,moderate,5str,Mount Abu,DR10641,WelcomHeritage Connaught House
HO11322,Courtyard Raipur,moderate,5str,Raipur (CT) ,DR11795,Courtyard Raipur
HO11595,WOW Crest - IHCL SeleQtions,first-class,1str,Indore,DR12398,WOW Crest - IHCL SeleQtions
HO11575,Bari Kothi,first-class,1str,Murshidabad,DR12370,Bari Kothi
HO10151,Fragrant Nature,first-class,5str,Kochi (Cochin),DR10011,Fragrant Nature
HO10455,Windflower Resort & Spa,first-class,5str,Wayanad,DR10799,Windflower Resort & Spa
HO12323,The Crown - IHCL SeleQtions,first-class,5str,Bhubaneswar,DR12827,The Crown - IHCL SeleQtions
HO12131,Regenta Central Cassia,budget,4str,,DR11538,Regenta Central Cassia
HO11997,Blackberry Hills,budget,3str,Munnar,DR12509,Blackberry Hills
HO11347,Hyatt Place,moderate,4str,Jaipur,DR10990,Hyatt Place
HO11206,Dhora Desert Resort & Spa,first-class,5str,Shekhala (Jodhpur - Jaisalmer Highway),DR10959,Dhora Desert Resort & Spa
HO10656,Brij Jawai,lux,5str,Pali (RJ) ,DR11034,Brij Jawai
