business_code,name,theme_score,tour_category,start_city_name,end_city_name
AC20000,Beyond the Taj Mahal – Tales from Across the River,8.2,Heritage,Agra,Agra
AC20000,Beyond The Taj Mahal – Tales From Across The River [A DKC Experience],8.2,Heritage,Agra,Agra
AC20001,Veda Patasala Visit,8.3,Experiential,Kumbakonam,Kumbakonam
AC20002,Night Ceremony At Big Temple,8.0,Experiential,Thanjavur (Tanjore),Thanjavur (Tanjore)
AC20002,Night Ceremony At Big Temple,8.0,Heritage,Thanjavur (Tanjore),Thanjavur (Tanjore)
AC20002,Night Ceremony At Big Temple,8.6,Heritage,Thanjavur (Tanjore),Thanjavur (Tanjore)
AC20002,"Witness Night Ceremony at Big Temple,Tanjore with Local Guide",7.2,Experiential,Thanjavur (Tanjore),Thanjavur (Tanjore)
AC20002,"Witness Night Ceremony at Big Temple,Tanjore with Local Guide",7.3,Heritage,Thanjavur (Tanjore),Thanjavur (Tanjore)
AC20003,Silk Weaving Unit Visit,8.3,Experiential,Darasuram,Darasuram
AC20004,Veena Making Unit Visit,1.0,Experiential,Thanjavur (Tanjore),Thanjavur (Tanjore)
AC20004,Veena Making Unit Visit,7.6,Experiential,Thanjavur (Tanjore),Thanjavur (Tanjore)
AC20005,Delivery of Food within City,8.6,Food,Chandigarh,Chandigarh
AC20006,Catering charges at Kalka Railway Station- per group / per catering,8.8,Food,Chandigarh,Chandigarh
AC20008,Heritage Walk,8.8,Experiential,Udaipur (RJ),Udaipur (RJ)
AC20009,Rickshaw Ride,7.5,Experiential,Jaipur,Jaipur
AC20010,Jeep Ride,3.5,Heritage,Jaipur,Jaipur
AC20010,Jeep Ride at Amber Fort,3.5,Heritage,Jaipur,Jaipur
AC20011,Wake up With Madurai,8.0,Experiential,Madurai,Madurai
AC20011,Wake up With Madurai,8.0,Nature,Madurai,Madurai
AC20011,Wake Up With Madurai [A DKC Experience],8.0,Experiential,Madurai,Madurai
AC20011,Wake Up With Madurai [A DKC Experience],8.0,Nature,Madurai,Madurai
